id,start.x,start.y,end.x,end.y
0,309,190,509,189
1,388,226,532,229
2,355,264,549,262
3,394,298,542,298
4,281,338,478,339
5,233,377,311,379
6,408,384,484,384
7,114,445,187,442
8,522,448,593,449
9,521,476,595,475
10,550,206,570,217
11,579,216,600,237
12,603,249,630,257
13,638,254,665,247
14,668,237,698,224
15,86,225,152,254
16,97,300,161,273
17,244,252,309,237
18,250,264,312,294
19,175,271,200,327
20,200,327,237,273
21,137,202,180,198
22,223,205,268,210
23,150,143,166,105
24,166,105,181,143
25,227,155,254,122
26,254,122,253,160
27,6,35,239,37
